route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000042,OCESN12260F3830674:2025-01-24T00:40:05Z,12260,0,107,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000069,OCESN12260F3830675:2025-01-24T00:40:05Z,12260,0,108,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000090,OCESN12260F3830676:2025-01-24T00:40:05Z,12260,0,109,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000091,OCESN12260F3830677:2025-01-24T00:40:05Z,12260,0,110,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000092,OCESN12261F3827470:2025-01-21T00:39:14Z,12261,1,111,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000093,OCESN12261F3827471:2025-01-21T00:39:14Z,12261,1,112,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000094,OCESN12261F3827472:2025-01-21T00:39:14Z,12261,1,113,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000095,OCESN12261F3827473:2025-01-21T00:39:14Z,12261,1,114,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000096,OCESN12261F3827474:2025-01-21T00:39:14Z,12261,1,115,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000097,OCESN12261F3827817:2025-01-26T00:39:26Z,12261,1,116,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000098,OCESN12261F3827818:2025-01-27T00:44:39Z,12261,1,117,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000099,OCESN12261F3827819:2025-01-25T00:39:51Z,12261,1,118,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000100,OCESN12261F3827820:2025-01-25T00:39:51Z,12261,1,119,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000025,OCESN12261F3827821:2025-01-25T00:39:51Z,12261,1,120,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12261F3828455:2025-01-21T00:39:14Z,12261,1,121,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000101,OCESN12261F3828533:2025-01-24T00:40:05Z,12261,1,122,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000102,OCESN12261F3829360:2025-01-25T00:39:51Z,12261,1,123,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000103,OCESN12261F3829361:2025-01-25T00:39:51Z,12261,1,124,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12261F3833974:2025-01-24T00:40:05Z,12261,1,125,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000104,OCESN12261F3833975:2025-01-25T00:39:51Z,12261,1,126,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000105,OCESN12261F3834536:2025-01-24T00:40:05Z,12261,1,127,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12261F3837599:2025-01-24T00:40:05Z,12261,1,128,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000036,OCESN12263F3517565:2024-11-29T10:03:28Z,12263,1,129,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000041,OCESN12263F3517567:2025-01-24T00:40:05Z,12263,1,130,
